Unnamed: 0,distance,duration,update_time,create_time,time_offset,mean_speed,end_time,max_speed,exercise_type,start_time,calorie,start_date,start,end_date,exercise_duration,exercise_duration_minutes,start_hour,end_hour,type,exercise_duration_int
132,2619.01,2355955,2018-03-20 23:06:48.556,2018-03-20 23:06:48.556,UTC-0300,1.1246649,2018-03-20 23:05:46.984,1.5555556,1001,2018-03-20 22:26:31.029,158.02,2018-03-20,22:26:31.029000,2018-03-20,0 days 00:39:15.955000000,39.26591666666666,22,23,Walking,39
196,2365.21,1781940,2018-03-23 16:08:06.332,2018-03-23 16:08:06.332,UTC-0300,1.327323,2018-03-23 13:45:11.000,2.0555556,1001,2018-03-23 13:15:30.000,123.38,2018-03-23,13:15:30,2018-03-23,0 days 00:29:41.940000000,29.699,13,13,Walking,29
79,2045.67,1705277,2018-03-23 13:45:05.417,2018-03-23 13:45:05.417,UTC-0300,1.2192038,2018-03-23 13:44:04.809,1.5555556,1001,2018-03-23 13:15:39.532,119.51,2018-03-23,13:15:39.532000,2018-03-23,0 days 00:28:25.277000000,28.421283333333335,13,13,Walking,28
94,2395.0,1818360,2018-03-23 13:12:36.234,2018-03-23 13:12:36.234,UTC-0300,1.3171209,2018-03-23 12:51:27.000,1.4722222,1001,2018-03-23 12:21:09.000,127.06,2018-03-23,12:21:09,2018-03-23,0 days 00:30:18.360000000,30.306,12,12,Walking,30
115,2001.509,1880954,2018-03-23 12:52:43.364,2018-03-23 12:52:43.364,UTC-0300,1.1152102,2018-03-23 12:51:42.776,1.75,1001,2018-03-23 12:20:21.822,123.33,2018-03-23,12:20:21.822000,2018-03-23,0 days 00:31:20.954000000,31.349233333333338,12,12,Walking,31
22,1003.31,923491,2018-03-25 19:28:43.461,2018-03-25 19:28:43.461,UTC-0300,1.1786413999999998,2018-03-25 19:27:42.786,1.3888888,1001,2018-03-25 19:12:19.295,60.8,2018-03-25,19:12:19.295000,2018-03-25,0 days 00:15:23.491000000,15.391516666666668,19,19,Walking,15
336,2570.597,2143165,2018-03-26 12:47:44.681,2018-03-26 12:47:44.681,UTC-0300,1.2274376,2018-03-26 12:46:42.353,1.5277778,1001,2018-03-26 12:10:59.188,153.28,2018-03-26,12:10:59.188000,2018-03-26,0 days 00:35:43.165000000,35.71941666666667,12,12,Walking,35
162,2907.61,2136440,2018-03-26 12:49:45.966,2018-03-26 12:49:45.966,UTC-0300,1.3609601999999998,2018-03-26 12:46:36.000,2.0277777,1001,2018-03-26 12:11:00.000,153.25,2018-03-26,12:11:00,2018-03-26,0 days 00:35:36.440000000,35.60733333333334,12,12,Walking,35
80,1785.71,1322983,2018-03-29 12:07:48.256,2018-03-29 12:07:48.256,UTC-0300,1.3497603,2018-03-29 12:06:32.000,2.6666667,1001,2018-03-29 11:44:30.000,114.54,2018-03-29,11:44:30,2018-03-29,0 days 00:22:02.983000000,22.04971666666667,11,12,Walking,22
494,830.563,900958,2018-03-29 01:09:14.155,2018-03-29 01:09:14.155,UTC-0300,1.2731429,2018-03-29 01:08:13.543,1.5833334,1001,2018-03-29 00:53:12.585,67.78,2018-03-29,00:53:12.585000,2018-03-29,0 days 00:15:00.958000000,15.015966666666667,0,1,Walking,15
