Unnamed: 0,distance,duration,update_time,create_time,time_offset,mean_speed,end_time,max_speed,exercise_type,start_time,calorie,start_date,start,end_date,exercise_duration,exercise_duration_minutes,start_hour,end_hour,type
4,1670.411,1680955,2018-03-04 23:26:13.923,2018-03-04 22:10:48.054,UTC-0400,1.0319625,2018-03-04 21:48:23.708,1.3333334,1001,2018-03-04 21:20:22.753,105.5,2018-03-04,21:20:22.753000,2018-03-04,0 days 00:28:00.955000000,28.01591666666667,21,21,Walking
190,1936.772,1914823,2018-03-04 20:32:29.235,2018-03-04 20:32:29.235,UTC-0400,1.1420529,2018-03-04 20:31:27.947,2.0123239,1001,2018-03-04 19:59:33.124,120.17,2018-03-04,19:59:33.124000,2018-03-04,0 days 00:31:54.823000000,31.91371666666667,19,20,Walking
204,0.0,1800000,2018-03-04 23:27:14.329,2018-03-04 23:27:11.121,UTC-0400,0.0,2018-03-04 13:26:00.000,,14001,2018-03-04 12:56:00.000,252.0,2018-03-04,12:56:00,2018-03-04,0 days 00:30:00.000000000,30.0,12,13,Swimming
370,964.67,1024925,2018-03-05 23:47:45.491,2018-03-05 23:47:45.491,UTC-0400,1.4480299,2018-03-05 23:46:45.333,1.8373358,1001,2018-03-05 23:29:40.408,69.3,2018-03-05,23:29:40.408000,2018-03-05,0 days 00:17:04.925000000,17.082083333333333,23,23,Walking
322,926.86,945669,2018-03-06 23:21:07.378,2018-03-06 23:21:07.378,UTC-0400,1.0941976,2018-03-06 23:20:07.487,1.25,1001,2018-03-06 23:04:21.818,59.57,2018-03-06,23:04:21.818000,2018-03-06,0 days 00:15:45.669000000,15.761150000000002,23,23,Walking
256,0.0,1500000,2018-03-07 13:09:32.783,2018-03-07 13:09:28.989,UTC-0400,0.0,2018-03-07 13:08:00.000,,14001,2018-03-07 12:43:00.000,210.0,2018-03-07,12:43:00,2018-03-07,0 days 00:25:00.000000000,25.0,12,13,Swimming
160,1471.381,1460661,2018-03-11 20:51:34.603,2018-03-11 20:51:34.603,UTC-0300,1.2546114,2018-03-11 20:50:32.570,2.2777777,1001,2018-03-11 20:26:11.909,107.35,2018-03-11,20:26:11.909000,2018-03-11,0 days 00:24:20.661000000,24.344350000000002,20,20,Walking
206,1812.9299,1447380,2018-03-11 20:55:01.811,2018-03-11 20:55:01.811,UTC-0300,1.2525598,2018-03-11 20:51:09.000,3.4444444,1001,2018-03-11 20:27:02.000,125.78,2018-03-11,20:27:02,2018-03-11,0 days 00:24:07.380000000,24.123,20,20,Walking
156,1161.96,1007828,2018-03-12 23:52:41.395,2018-03-12 23:52:41.395,UTC-0300,1.3497202,2018-03-12 23:51:41.016,1.6388888,1001,2018-03-12 23:34:53.188,68.08,2018-03-12,23:34:53.188000,2018-03-12,0 days 00:16:47.828000000,16.797133333333335,23,23,Walking
64,1306.02,1154405,2018-03-13 09:48:47.321,2018-03-13 09:48:47.321,UTC-0300,1.1313361000000002,2018-03-12 23:55:14.000,1.8055556,1001,2018-03-12 23:36:00.000,71.71,2018-03-12,23:36:00,2018-03-12,0 days 00:19:14.405000000,19.240083333333335,23,23,Walking
78,1128.04,1098455,2018-03-12 19:55:15.258,2018-03-12 19:55:15.258,UTC-0300,1.2947123,2018-03-12 19:54:13.305,1.7222221999999998,1001,2018-03-12 19:35:54.850,66.58,2018-03-12,19:35:54.850000,2018-03-12,0 days 00:18:18.455000000,18.307583333333337,19,19,Walking
296,1173.34,909877,2018-03-12 19:59:08.597,2018-03-12 19:59:08.597,UTC-0300,1.2895589,2018-03-12 19:53:09.000,2.3055556,1001,2018-03-12 19:38:00.000,64.08,2018-03-12,19:38:00,2018-03-12,0 days 00:15:09.877000000,15.164616666666667,19,19,Walking
222,0.0,1800000,2018-03-13 12:33:10.809,2018-03-13 12:28:03.496,UTC-0300,0.0,2018-03-13 11:27:00.000,,14001,2018-03-13 10:57:00.000,252.0,2018-03-13,10:57:00,2018-03-13,0 days 00:30:00.000000000,30.0,10,11,Swimming
394,2216.45,1855432,2018-03-16 22:57:11.880,2018-03-16 22:57:11.880,UTC-0300,1.1945735,2018-03-16 22:55:55.000,1.5,1001,2018-03-16 22:25:00.000,116.42,2018-03-16,22:25:00,2018-03-16,0 days 00:30:55.432000000,30.923866666666665,22,22,Walking
305,2138.9,1881582,2018-03-16 22:56:53.364,2018-03-16 22:56:53.364,UTC-0300,1.3307831,2018-03-16 22:55:53.580,1.5833334,1001,2018-03-16 22:24:31.998,123.2,2018-03-16,22:24:31.998000,2018-03-16,0 days 00:31:21.582000000,31.3597,22,22,Walking
56,1134.25,1255688,2018-03-18 22:50:06.400,2018-03-18 22:50:06.400,UTC-0300,0.8917478999999999,2018-03-18 22:49:05.416,1.0833334,1001,2018-03-18 22:28:09.728,73.97,2018-03-18,22:28:09.728000,2018-03-18,0 days 00:20:55.688000000,20.928133333333335,22,22,Walking
259,2245.98,1747078,2018-03-20 22:25:12.933,2018-03-20 22:25:12.933,UTC-0300,1.2855637,2018-03-20 22:24:07.000,2.7777777,1001,2018-03-20 21:55:00.000,120.58,2018-03-20,21:55:00,2018-03-20,0 days 00:29:07.078000000,29.11796666666667,21,22,Walking
422,1992.51,1834331,2018-03-20 22:25:16.241,2018-03-20 22:25:16.241,UTC-0300,1.2183607,2018-03-20 22:24:15.077,1.4722222,1001,2018-03-20 21:53:40.746,119.09,2018-03-20,21:53:40.746000,2018-03-20,0 days 00:30:34.331000000,30.572183333333335,21,22,Walking
25,3075.3,2344680,2018-03-20 23:07:06.503,2018-03-20 23:07:06.503,UTC-0300,1.3116075,2018-03-20 23:06:04.000,1.5833334,1001,2018-03-20 22:27:00.000,159.64,2018-03-20,22:27:00,2018-03-20,0 days 00:39:04.680000000,39.078,22,23,Walking
87,0.0,1200000,2018-03-20 16:36:39.345,2018-03-20 16:36:35.187,UTC-0300,0.0,2018-03-20 11:26:00.000,,14001,2018-03-20 11:06:00.000,168.0,2018-03-20,11:06:00,2018-03-20,0 days 00:20:00.000000000,20.0,11,11,Swimming
132,2619.01,2355955,2018-03-20 23:06:48.556,2018-03-20 23:06:48.556,UTC-0300,1.1246649,2018-03-20 23:05:46.984,1.5555556,1001,2018-03-20 22:26:31.029,158.02,2018-03-20,22:26:31.029000,2018-03-20,0 days 00:39:15.955000000,39.26591666666666,22,23,Walking
