index,start_date,calorie,exercise_duration_minutes,time_offset,date,efficiency,quality,sleep_duration,day_of_week_y,week_number,status
105,2018-05-31,300.644,56.51988333333334,UTC-0300,2018-05-31,93.90863,,369.0609159,Thursday,23,No_Travel
106,2018-06-02,252.0,30.0,UTC-0300,2018-06-02,90.96154,,472.09039260000003,Saturday,23,No_Travel
107,2018-06-03,195.82,45.91680000000001,UTC-0300,2018-06-03,90.574715,,393.09426310000003,Sunday,23,No_Travel
108,2018-06-04,555.3499999999999,87.48541666666665,UTC-0300,2018-06-04,95.06493,,365.04933120000004,Monday,24,No_Travel
109,2018-06-05,145.826,27.41936666666667,UTC-0300,2018-06-05,95.42334,,429.40503,Tuesday,24,No_Travel
110,2018-06-07,541.2260040000001,111.0922,UTC-0300,2018-06-07,91.37207749999999,,422.17258025000007,Thursday,24,No_Travel
111,2018-06-08,168.0,20.0,UTC-0300,2018-06-08,92.85714,,376.07141700000005,Friday,24,No_Travel
112,2018-06-09,275.64,67.43466666666666,UTC-0300,2018-06-09,92.14438,,434.00002980000005,Saturday,24,No_Travel
113,2018-06-11,274.83,51.68395,UTC-0300,2018-06-11,94.0919,,429.999983,Monday,25,No_Travel
114,2018-06-12,210.0,25.0,UTC-0300,2018-06-12,92.98246,,423.0701930000001,Tuesday,25,No_Travel
115,2018-06-13,67.73,15.240233333333334,UTC-0300,2018-06-13,94.90446,,297.0509598,Wednesday,25,No_Travel
116,2018-06-15,170.1,43.712716666666665,UTC-0300,2018-06-15,85.7536375,,360.284911,Friday,25,No_Travel
117,2018-06-16,76.13,16.803083333333333,UTC-0300,2018-06-16,94.305244,,413.05696872000004,Saturday,25,No_Travel
118,2018-06-17,792.39,207.7522166666667,UTC-0300,2018-06-17,77.92735350000001,,373.44146348,Sunday,25,No_Travel
119,2018-06-18,205.14999999999998,45.99305000000001,UTC-0300,2018-06-18,93.56137,,464.06439520000004,Monday,26,No_Travel
120,2018-06-19,247.10999999999999,50.0397,UTC-0300,2018-06-19,94.61078,,315.05389740000004,Tuesday,26,No_Travel
121,2018-06-20,309.35,45.64865,UTC-0300,2018-06-20,94.72574,,448.05275020000005,Wednesday,26,No_Travel
122,2018-06-21,327.482,29.398533333333333,UTC-0300,2018-06-21,93.31849,,419.00002010000003,Thursday,26,No_Travel
123,2018-06-22,552.234,114.68921666666668,UTC-0300,2018-06-22,93.355388,,419.1328824600001,Friday,26,No_Travel
124,2018-06-23,252.0,30.0,UTC-0300,2018-06-23,81.683875,,397.3663085,Saturday,26,No_Travel
125,2018-06-25,64.86,16.758783333333334,UTC-0300,2018-06-25,89.93839,,437.1005754,Monday,27,No_Travel
126,2018-06-26,844.354,107.38468333333334,UTC-0300,2018-06-26,92.54386,,421.074563,Tuesday,27,No_Travel
127,2018-06-27,438.08,55.4921,UTC-0300,2018-06-27,89.6861,,400.00000600000004,Wednesday,27,No_Travel
128,2018-06-29,637.6600000000001,88.43341666666666,UTC-0300,2018-06-29,92.517006,,407.99999646000003,Friday,27,No_Travel
129,2018-06-30,304.73,45.24705,UTC-0300,2018-06-30,90.46653,,445.0953276,Saturday,27,No_Travel
130,2018-07-03,215.285,40.47338333333334,UTC-0300,2018-07-03,88.52814000000002,,408.1147254,Tuesday,28,No_Travel
131,2018-07-04,59.6,15.122700000000002,UTC-0300,2018-07-04,91.876755,,327.0812478,Wednesday,28,No_Travel
132,2018-07-07,579.548,61.321616666666664,UTC-0300,2018-07-07,93.177734,,518.99997838,Saturday,28,No_Travel
133,2018-07-09,340.67,64.03630000000001,UTC-0300,2018-07-09,90.40591,,489.09597310000004,Monday,29,No_Travel
134,2018-07-10,293.6040000000001,55.189033333333334,UTC-0300,2018-07-10,89.08686,,399.10913280000005,Tuesday,29,No_Travel
135,2018-07-11,320.08,46.01433333333333,UTC-0300,2018-07-11,94.43156,,406.05570800000004,Wednesday,29,No_Travel
136,2018-07-12,66.25,18.120483333333333,UTC-0300,2018-07-12,91.85022,,416.08149660000004,Thursday,29,No_Travel
137,2018-07-13,624.221,49.43958333333333,UTC-0300,2018-07-13,91.46967299999999,,511.1705922599833,Friday,29,No_Travel
138,2018-07-15,703.14,88.39033333333333,UTC-0300,2018-07-15,91.013824,,394.99999616,Sunday,29,No_Travel
139,2018-07-17,377.364,70.93973333333334,UTC-0300,2018-07-17,90.38461,,375.09613150000007,Tuesday,30,No_Travel
140,2018-07-18,260.664,48.999633333333335,UTC-0300,2018-07-18,91.967865,,457.08028905000003,Wednesday,30,No_Travel
141,2018-07-19,65.83,15.235766666666668,UTC-0300,2018-07-19,91.60584,,502.00000320000004,Thursday,30,No_Travel
142,2018-07-20,427.148,29.25901666666667,UTC-0300,2018-07-20,90.2439,,443.097549,Friday,30,No_Travel
143,2018-07-21,1298.187,137.85888333333335,UTC-0300,2018-07-21,88.50574499999998,,461.1149314499834,Saturday,30,No_Travel
144,2018-07-23,647.625,98.58266666666667,UTC-0300,2018-07-23,89.43489,,372.94349130000006,Monday,31,No_Travel
145,2018-07-25,294.651,55.38666666666667,UTC-0300,2018-07-25,89.77956400000002,,448.00002436,Wednesday,31,No_Travel
146,2018-07-26,140.97,34.67150000000001,UTC-0300,2018-07-26,92.82609,,426.0717531,Thursday,31,No_Travel
147,2018-07-27,705.146,150.10453333333334,UTC-0300,2018-07-27,90.804596,,473.09194516,Friday,31,No_Travel
148,2018-07-29,302.23,31.780716666666667,UTC-0300,2018-07-29,86.84863,,349.99997890000003,Sunday,31,No_Travel
149,2018-07-30,301.468,56.70626666666667,UTC-0300,2018-07-30,89.29625250000001,,430.87592895000006,Monday,32,No_Travel
150,2018-07-31,234.5,38.070750000000004,UTC-0300,2018-07-31,89.93964,,446.10061440000004,Tuesday,32,No_Travel
151,2018-08-01,66.81,16.093033333333334,UTC-0300,2018-08-01,88.43813,,435.9999809,Wednesday,32,No_Travel
152,2018-08-02,63.38,15.497483333333333,UTC-0300,2018-08-02,86.930695,,438.13070280000005,Thursday,32,No_Travel
153,2018-08-03,586.369,92.86613333333334,UTC-0300,2018-08-03,89.21776,,421.10782720000003,Friday,32,No_Travel
154,2018-08-04,107.99,19.60231666666667,UTC-0300,2018-08-04,88.40258,,453.23194470000004,Saturday,32,No_Travel
155,2018-08-05,316.44,31.8524,UTC-0300,2018-08-05,90.55118,,459.99999440000005,Sunday,32,No_Travel
156,2018-08-07,394.0,93.44788333333334,UTC-0300,2018-08-07,88.29175,,459.11710000000005,Tuesday,33,No_Travel
157,2018-08-08,324.43,60.9979,UTC-0300,2018-08-08,88.468535,,375.2306237,Wednesday,33,No_Travel
158,2018-08-09,133.49,30.032783333333334,UTC-0300,2018-08-09,91.22402,,394.0877664,Thursday,33,No_Travel
159,2018-08-10,244.364,45.94028333333334,UTC-0300,2018-08-10,89.58333,,343.9999872,Friday,33,No_Travel
160,2018-08-12,168.0,20.0,UTC-0300,2018-08-12,90.712746,,419.09288652000004,Sunday,33,No_Travel
161,2018-08-13,373.894,40.94166666666666,UTC-0300,2018-08-13,89.756096,,378.77072512,Monday,34,No_Travel
162,2018-08-21,234.24,60.17678333333335,UTC+0300,2018-08-21,73.77049,,44.99999889998333,Tuesday,35,Travel
163,2018-08-25,226.52999,56.35778333333333,UTC+0300,2018-08-25,89.21568,,90.9999936,Saturday,35,Travel
164,2018-08-26,288.799995,74.9931,UTC+0300,2018-08-26,76.86568,,102.23135440000001,Sunday,35,Travel
165,2018-08-28,68.58,16.228450000000002,UTC-0300,2018-08-28,89.47369,,390.1052884,Tuesday,35,No_Travel
166,2018-08-29,140.9,36.10071666666667,UTC-0300,2018-08-29,89.00402499999998,,482.94366469998334,Wednesday,35,No_Travel
167,2018-08-31,262.752,49.40651666666667,UTC-0300,2018-08-31,89.32238000000002,,434.99999060000005,Friday,35,No_Travel
168,2018-09-01,326.11,79.62391666666667,UTC-0300,2018-09-01,86.65377,,447.9999909,Saturday,35,No_Travel
169,2018-09-02,349.016,26.920650000000002,UTC-0300,2018-09-02,86.54173,,507.9999551,Sunday,35,No_Travel
170,2018-09-03,74.84,20.96291666666667,UTC-0300,2018-09-03,87.87129,,354.1212987,Monday,36,No_Travel
171,2018-09-04,337.942,63.570133333333345,UTC-0300,2018-09-04,88.91013000000002,,464.9999799,Tuesday,36,No_Travel
172,2018-09-06,312.8520000000001,58.80698333333334,UTC-0300,2018-09-06,90.336136,,429.096646,Thursday,36,No_Travel
173,2018-09-07,135.18,33.34806666666667,UTC-0300,2018-09-07,91.94805,,353.08051200000006,Friday,36,No_Travel
174,2018-09-08,579.49,151.75718333333333,UTC-0300,2018-09-08,87.539092,,357.37383084,Saturday,36,No_Travel
175,2018-09-11,168.0,20.0,UTC-0300,2018-09-11,87.96296,,284.1203608,Tuesday,37,No_Travel
176,2018-09-12,100.11,24.55006666666667,UTC-0300,2018-09-12,91.594826,,424.99999264,Wednesday,37,No_Travel
177,2018-09-13,528.0030000000002,109.84485000000001,UTC-0300,2018-09-13,91.27789,,449.0872188000001,Thursday,37,No_Travel
178,2018-09-15,332.52,81.58116666666666,UTC-0300,2018-09-15,80.61611500000001,,404.38768830000004,Saturday,37,No_Travel
179,2018-09-16,378.713,26.733883333333335,UTC-0300,2018-09-16,89.26829000000002,,365.999989,Sunday,37,No_Travel
180,2018-09-17,297.189,55.89255000000001,UTC-0300,2018-09-17,89.66292,,398.10336480000007,Monday,38,No_Travel
181,2018-09-18,164.57999999999998,33.268100000000004,UTC-0300,2018-09-18,84.317395,,379.31365170000004,Tuesday,38,No_Travel
182,2018-09-19,215.424,40.52060000000001,UTC-0300,2018-09-19,90.05525,,488.099455,Wednesday,38,No_Travel
183,2018-09-23,399.189,24.418816666666668,UTC-0300,2018-09-23,92.253525,,392.07748125000006,Sunday,38,No_Travel
184,2018-09-25,253.027,47.56248333333334,UTC-0300,2018-09-25,90.74074,,391.0925894,Tuesday,39,No_Travel
185,2018-09-28,227.84000400000002,47.424866666666674,UTC-0300,2018-09-28,90.9627,,536.1807469,Friday,39,No_Travel
186,2018-09-29,319.95,45.370783333333335,UTC-0300,2018-09-29,90.68958999999998,,483.1862163999833,Saturday,39,No_Travel
187,2018-09-30,430.75,105.39161666666668,UTC-0300,2018-09-30,89.73105,,366.10268400000007,Sunday,39,No_Travel
188,2018-10-02,336.0,40.0,UTC-0300,2018-10-02,90.909096,,381.8182032,Tuesday,40,No_Travel
189,2018-10-03,158.0,15.224883333333334,UTC-0300,2018-10-03,94.31372,,480.0568348,Wednesday,40,No_Travel
190,2018-10-04,150.73,36.88003333333334,UTC-0300,2018-10-04,92.24806,,356.07751160000004,Thursday,40,No_Travel
191,2018-10-05,468.057,92.06615000000001,UTC-0300,2018-10-05,93.19728,,548.0000064,Friday,40,No_Travel
192,2018-10-06,754.466,135.34175,UTC-0300,2018-10-06,90.69768,,428.09304960000003,Saturday,40,No_Travel
193,2018-10-09,608.294,99.03265000000002,UTC-0300,2018-10-09,88.17967,,373.0000041,Tuesday,41,No_Travel
194,2018-10-11,413.78999999999996,73.19983333333334,UTC-0300,2018-10-11,90.49881,,380.095002,Thursday,41,No_Travel
195,2018-10-12,375.252,70.54865,UTC-0300,2018-10-12,92.028984,,518.12317992,Friday,41,No_Travel
196,2018-10-15,252.0,30.0,UTC-0300,2018-10-15,91.38381,,349.0861542,Monday,42,No_Travel
197,2018-10-16,214.953,40.422200000000004,UTC-0300,2018-10-16,93.589745,,510.06411025000006,Tuesday,42,No_Travel
198,2018-10-17,296.553,55.76571666666667,UTC-0300,2018-10-17,45.411765,,396.89882610000006,Wednesday,42,No_Travel
199,2018-10-19,294.0,35.0,UTC-0300,2018-10-19,93.849655,,411.06148890000003,Friday,42,No_Travel
200,2018-10-20,240.252,45.169533333333334,UTC-0300,2018-10-20,89.79590999999998,,439.10199989998335,Saturday,42,No_Travel
